what,kind,bundleId,bundleVersion,description,time
started,bundle,org.maven.ide.eclipse.maven_model_edit,0.10.2.20100623-1649,"org.maven.ide.eclipse.maven_model_edit",1356583287678
started,bundle,org.maven.ide.eclipse,0.10.2.20100623-1649,"org.maven.ide.eclipse",1356583300565
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1356583309066
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1356583310344
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1356583337980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1356583337998
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1356583344911
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1356583360969
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1356583366317
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1356583377856
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1356583378372
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1356583380065
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1356583380093
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1356583380153
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1356583380204
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1356583380211
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1356583380227
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1356583380245
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1356583380284
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1356583380314
